Name,Height,Height_in
Ahmed Algendy,6-1,73
Aanas Aybakar,6-0,72
George Molina,6-0,72
Wood-by Paulemont,5-9,69
Richard Reyes,5-6,66
Jeremy Sapeg,5-10,70
Alex Winter,6-0,72
*,6-3,75
*,5-11,71
Caleb Baron,6-0,72
Tyler Canteen,5-7,67
Doruk Evcimen,5-8,68
Tyler Finkle,6-4,76
AJ Guevara,5-6,66
Tomas  Jimenez,5-7,67
Daniel Karamanougian,5-10,70
Devin Korsak,5-10,70
Matthew O'Brien,5-11,71
Jacob Peraza,6-1,73
Sean Robinson,6-0,72
Andy Shkolnik,5-11,71
Joe Swede,6-4,76
Adam Wright,5-9,69
Benjamin Beldner,6-1,73
Brandon Berger,6-1,73
Ryan Board,5-11,71
Keegan Chatham,5-10,70
Zachary Ciriaco,5-6,66
Ryan Cohn,5-10,70
Nathan DeGuzman,5-9,69
Christopher Egan,5-6,66
Christopher Ghim,6-0,72
Brian Harding,6-4,76
Jackson Homan,6-0,72
Sandon Karinsky,5-10,70
George Kipshidze,6-1,73
Eric Kroon,6-5,77
Elijah Lanfear,6-2,74
Xiaoyu Lin,6-1,73
Ryan Maierle,6-3,75
William Maurer,5-10,70
Justin Meyn,6-2,74
Liam Murphy,6-1,73
Oisin O'Sullivan,5-11,71
Matthew Palguta,6-2,74
Travis Phillips,6-1,73
Robert Reining,6-2,74
Henry Shemet,6-3,75
Jake  Vecchio,5-8,68
