Name,Height,Height_in
1,5-11,71
3,6-0,72
4,5-9,69
6,5-8,68
7,6-3,75
8,5-7,67
9,6-0,72
10,5-10,70
12,5-11,71
15,6-1,73
16,6-2,74
17,6-0,72
1,5-7,67
2,5-11,71
3,6-4,76
4,5-11,71
5,5-4,64
7,5-10,70
8,5-5,65
9,6-0,72
10,6-0,72
11,5-10,70
12,5-7,67
13,6-4,76
14,6-2,74
15,5-7,67
16,5-11,71
1,5-8,68
4,5-5,65
5,5-9,69
6,5-10,70
9,5-9,69
11,6-2,74
12,5-8,68
13,5-6,66
14,6-4,76
15,6-0,72
17,5-7,67
19,6-5,77
20,5-10,70
22,6-8,80
1,5-10,70
3,5-6,66
4,5-8,68
5,5-8,68
6,5-9,69
7,6-0,72
8,6-2,74
9,5-11,71
10,5-9,69
11,5-8,68
12,5-10,70
13,5-8,68
17,6-0,72
20,6-3,75
21,6-4,76
22,6-5,77
24,6-4,76
*,6-4,76
*,5-9,69
1,6-6,78
3,5-6,66
6,5-7,67
7,5-7,67
8,5-9,69
9,6-0,72
10,6-1,73
11,5-7,67
12,6-2,74
13,6-0,72
15,6-4,76
16,6-0,72
17,6-3,75
18,5-9,69
19,6-7,79
21,6-1,73
22,6-5,77
24,5-11,71
1,6-1,73
5,5-7,67
6,6-3,75
7,6-0,72
8,6-0,72
9,5-8,68
10,6-0,72
11,5-8,68
12,6-4,76
13,6-1,73
14,5-10,70
