Name,Height,Height_in
Asha Besaw,5-1,61
Rory Chea,5-4,64
Laura Cruz Rosario,5-3,63
Natalia Cuttler,5-6,66
Jillian Etnel,5-3,63
Kristen Flores,5-1,61
Alexis Hall,5-8,68
Bianca Hiltz,5-9,69
Fatima Morrobel,5-2,62
Melanie Rodriguez,4-11,59
Nakia Usher,4-10,58
Julia Wyman,4-10,58
*,5-1,61
*,5-9,69
Fifi  Amanuel,5-4,64
Julia Caramagna,5-2,62
Isabella Hanson,5-10,70
Mairin Huston,5-3,63
Maddy Joe,5-2,62
Grace Korey,5-10,70
Camila Mercado,5-1,61
Valeria Pages,5-1,61
Alazne Sudupe,5-5,65
Magdalen Swat,5-2,62
Sovy Taylor,5-5,65
Rachel Vazquez,5-5,65
Cami Yovich,5-2,62
Krisztina Balogh,5-6,66
Emma Bellars,5-5,65
Abby Burns,5-5,65
Alisa Dovbnya,5-8,68
Laney Fenton,5-6,66
Grace Geyer,5-11,71
Taylor Jacobson,5-1,61
Ashley Konz,5-8,68
Emma Lindecke,5-5,65
Abbie Masters,5-3,63
Teagan Powell,5-9,69
Vivian Ravines,5-8,68
Faith Ring,5-3,63
Sydney Stemley,5-6,66
Braelyn Wilson,5-5,65
Victoria Zjawin,5-4,64
